sigma,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
1.010900900900901,0,1,[0.21037828 1.        ],[1.],"[1.0, 0.21037827601352613, 0.0, 0.0]",,,,,,,
1.010900900900901,0,2,[0.10683417 0.21037828 1.        ],[1.],"[1.0, 0.21037827601352613, 0.10683417173406118, 0.0]",,,,,,,
1.010900900900901,0,3,[0.0442301  0.10683417 0.21037828 1.        ],[1.],"[1.0, 0.21037827601352613, 0.10683417173406118, 0.044230102018662266]",,,,,,,
1.010900900900901,1,0,[1.],[-0.21037828  1.        ],"[1.0, 0.21037827601352613, 0.044259019018423384, 0.009311136119145778]",(4.753342497852325+0j),(-4.753342497852325+0j),[1],,,0j,[0.]
1.010900900900901,1,1,[-0.29744113  1.        ],[-0.50781941  1.        ],"[1.0, 0.2103782760135261, 0.10683417173406116, 0.05425246592176205]",(1.9692039784537658+0j),(-0.8157973700633201+0j),[1],,,(0.58572226189392+0j),[0.58572226]
1.010900900900901,1,2,[ 0.01973608 -0.20362879  1.        ],[-0.41400707  1.        ],"[1.0, 0.21037827601352613, 0.10683417173406118, 0.044230102018662266]",(2.415417710069581+0j),(-1.5055213758800794+0j),[1],,,(0.2615584375804698+0j),[-0.04767087  0.37670351]
1.010900900900901,2,0,[1.],[-0.06257515 -0.21037828  1.        ],"[1.0, 0.21037827601352613, 0.10683417173406118, 0.035640041618343776]",(2.655648361729772+0j),(-1.8425249917016158+0j),[1],(-6.017658151295203+0j),(1.8425249917016158+0j),(0.21243628239525933+0j),[0.]
1.010900900900901,2,1,[-0.1372759  1.       ],[-0.03369529 -0.34765418  1.        ],"[1.0, 0.21037827601352613, 0.10683417173406118, 0.044230102018662266]",(2.343931551126078+0j),(-1.34141053360661+0j),[1],(-12.661522578090075+0j),(5.415449308762607+0j),(0.3608987280310654+0j),[0.]
1.010900900900901,3,0,[1.],[-0.00859006 -0.06257515 -0.21037828  1.        ],"[1.0, 0.21037827601352613, 0.10683417173406118, 0.044230102018662266]",(2.424027467058422+0j),(-1.5033766643653041-0j),[1],(-4.854313659226918+4.945757191640839j),(0.7516883321826523-1.106209603560971j),(0.14130718135825074+0j),[0.]
1.110990990990991,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
1.110990990990991,0,1,[0.20700707 1.        ],[1.],"[1.0, 0.20700706629258475, 0.0, 0.0]",,,,,,,
1.110990990990991,0,2,[0.10384519 0.20700707 1.        ],[1.],"[1.0, 0.20700706629258475, 0.10384519369315982, 0.0]",,,,,,,
1.110990990990991,0,3,[0.04250775 0.10384519 0.20700707 1.        ],[1.],"[1.0, 0.20700706629258475, 0.10384519369315982, 0.04250774657397844]",,,,,,,
1.110990990990991,1,0,[1.],[-0.20700707  1.        ],"[1.0, 0.20700706629258475, 0.04285192549506258, 0.008870651381721321]",(4.830752968531979+0j),(-4.830752968531979+0j),[1],,,0j,[0.]
1.110990990990991,1,1,[-0.29464341  1.        ],[-0.50165048  1.        ],"[1.0, 0.20700706629258475, 0.10384519369315984, 0.05209399102312757]",(1.993419810109325+0j),(-0.8225886451287271+0j),[1],,,(0.5873480132197473+0j),[0.58734801]
1.110990990990991,1,2,[ 0.01910941 -0.20233057  1.        ],[-0.40933764  1.        ],"[1.0, 0.20700706629258475, 0.10384519369315982, 0.04250774657397844]",(2.4429710361717865+0j),(-1.5140539646082+0j),[1],,,(0.2661937120089476+0j),[-0.04668373  0.38024072]
1.110990990990991,2,0,[1.],[-0.06099327 -0.20700707  1.        ],"[1.0, 0.20700706629258475, 0.10384519369315982, 0.03412272640829116]",(2.6933577747088977+0j),(-1.867202843903985+0j),[1],(-6.087290784172434+0j),(1.867202843903985+0j),(0.21264976401035568+0j),[0.]
1.110990990990991,2,1,[-0.13747452  1.        ],[-0.03253507 -0.34448158  1.        ],"[1.0, 0.20700706629258475, 0.10384519369315982, 0.04250774657397843]",(2.371668968406307+0j),(-1.351137273631625+0j),[1],(-12.959676586311431+0j),(5.5765627018544235+0j),(0.3637360257748813+0j),[0.]
1.110990990990991,3,0,[1.],[-0.00838502 -0.06099327 -0.20700707  1.        ],"[1.0, 0.20700706629258475, 0.10384519369315982, 0.04250774657397844]",(2.4551854339969554+0j),(-1.5194342104747323-0j),[1],(-4.864630374205941+4.991015419564319j),(0.7597171052373661-1.1141999792026391j),(0.1416994175596833+0j),[0.]
1.211081081081081,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
1.211081081081081,0,1,[0.20372218 1.        ],[1.],"[1.0, 0.20372218064894115, 0.0, 0.0]",,,,,,,
1.211081081081081,0,2,[0.10096435 0.20372218 1.        ],[1.],"[1.0, 0.20372218064894115, 0.10096434548302782, 0.0]",,,,,,,
1.211081081081081,0,3,[0.04086558 0.10096435 0.20372218 1.        ],[1.],"[1.0, 0.20372218064894115, 0.10096434548302782, 0.04086558169923675]",,,,,,,
1.211081081081081,1,0,[1.],[-0.20372218  1.        ],"[1.0, 0.20372218064894115, 0.04150272688835981, 0.008455026024574106]",(4.908645670366269+0j),(-4.908645670366269+0j),[1],,,0j,[0.]
