sigma,residues,poles,poly_type,pole_2,res_2,remainder
0.1123324032978027,-1.2555655042666547,2.1003377078302488,2_1,(-10.161458230893896+0j),(4.087017734876297+0j),0.33331314232436626
0.1123324032978027,-1.364292114621501,2.152290006507982,3_0,(-4.844969647046984+4.544722793250033j),(0.6821460573107504-1.050262755682557j),0.1371277563267103
0.1232846739442066,,,0_0,,,
0.1232846739442066,,,0_1,,,
0.1232846739442066,,,0_2,,,
0.1232846739442066,,,0_3,,,
0.1232846739442066,-4.0889800964687,4.0889800964687,1_0,,,0.0
0.1232846739442066,-0.7577460139421612,1.7602296353567028,1_1,,,0.5695186589739427
0.1232846739442066,-1.4325144551309636,2.1765122343817556,1_2,,,0.21594786778499617
0.1232846739442066,-1.6301338091726418,2.3309851177164687,2_0,(-5.421717278323763+0j),(1.6301338091726418+0j),0.21026652719253722
0.1232846739442066,-1.2565964335322544,2.1032464032964486,2_1,(-10.190018743521318+0j),(4.101934536807992+0j),0.333673315251792
0.1232846739442066,-1.365929565980126,2.155512312458146,3_0,(-4.843937800364886+4.549628466761971j),(0.6829647829900631-1.0507183085998695j),0.13718698382476674
0.1353047774579807,,,0_0,,,
0.1353047774579807,,,0_1,,,
0.1353047774579807,,,0_2,,,
0.1353047774579807,,,0_3,,,
0.1353047774579807,-4.097700112195719,4.097700112195719,1_0,,,0.0
0.1353047774579807,-0.7585054654489933,1.762988352449161,1_1,,,0.5697614993342015
0.1353047774579807,-1.433470729966154,2.179680378719459,1_2,,,0.216624139572895
0.1353047774579807,-1.632929749583963,2.3352603743281795,2_0,(-5.429517101940194+0j),(1.632929749583963+0j),0.210299619605934
0.1353047774579807,-1.257728309490782,2.106440460519324,2_1,(-10.221418037970789+0j),(4.118341748633795+0j),0.33406789582620533
0.1353047774579807,-1.3677283946234253,2.1590514336601982,3_0,(-4.842845888728958+4.555009103859665j),(0.6838641973117126-1.051226634866066j),0.13725171653646148
0.1484968262254465,,,0_0,,,
0.1484968262254465,,,0_1,,,
0.1484968262254465,,,0_2,,,
0.1484968262254465,,,0_3,,,
0.1484968262254465,-4.107279378600038,4.107279378600038,1_0,,,0.0
0.1484968262254465,-0.7593398085221487,1.7660183285835747,1_1,,,0.5700272209908642
0.1484968262254465,-1.4345213006317634,2.18315959099362,1_2,,,0.2173643414286994
0.1484968262254465,-1.6360008945813664,2.3399564075124224,2_0,(-5.438086222284687+0j),(1.6360008945813664+0j),0.21033580972081167
0.1484968262254465,-1.2589710547452488,2.1099480464039284,2_1,(-10.255943462132045+0j),(4.136391855193492+0j),0.33450009264097197
0.1484968262254465,-1.3697046700893925,2.16293877866526,3_0,(-4.841695886024335+4.560910452905393j),(0.6848523350446963-1.051794473007427j),0.1373224379744718
0.1629750834620644,,,0_0,,,
0.1629750834620644,,,0_1,,,
0.1629750834620644,,,0_2,,,
0.1629750834620644,,,0_3,,,
0.1629750834620644,-4.117803506941788,4.117803506941788,1_0,,,0.0
0.1629750834620644,-0.7602565370824707,1.769346499296737,1_1,,,0.5703178900319128
0.1629750834620644,-1.4356755468233295,2.1869806367364704,1_2,,,0.21817432717103888
0.1629750834620644,-1.6393746202713337,2.3451150585859795,2_0,(-5.447501517474253+0j),(1.6393746202713337+0j),0.2103753731843642
0.1629750834620644,-1.2603355791289141,2.1138001624175224,2_1,(-10.293913759220517+0j),(4.156254206582222+0j),0.3349734070942798
