sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.0253536449397011,0,1,[0.24886576 1.        ],[1.],"[1.0, 0.2488657612695191, 0.0, 0.0]","[1, 0.2488657612695191, 0.1432050247649734, 0.06658311520002899]","[0.0, 0.0, 0.1432050247649734, 0.06658311520002899]",0.1432050247649734,1.0,,,,,,,
0.0253536449397011,0,2,[0.14320502 0.24886576 1.        ],[1.],"[1.0, 0.2488657612695191, 0.1432050247649734, 0.0]","[1, 0.2488657612695191, 0.1432050247649734, 0.06658311520002899]","[0.0, 0.0, 0.0, 0.06658311520002899]",0.06658311520002899,1.0,,,,,,,
0.0253536449397011,1,0,[1.],[-0.24886576  1.        ],"[1.0, 0.2488657612695191, 0.061934167132257266, 0.015413293651962832]","[1, 0.2488657612695191, 0.1432050247649734, 0.06658311520002899]","[0.0, 0.0, 0.08127085763271613, 0.05116982154806616]",0.08127085763271613,0.5675140084371831,4.018230530784065,-4.018230530784065,[1],,,0.0,[]
0.0253536449397011,1,1,[-0.32656504  1.        ],[-0.5754308  1.       ],"[1.0, 0.2488657612695191, 0.1432050247649734, 0.08240458234721584]","[1, 0.2488657612695191, 0.1432050247649734, 0.06658311520002899]","[0.0, 0.0, 0.0, -0.015821467147186852]",-0.015821467147186852,0.23761980946154293,1.7378284154341301,-0.7515864454150686,[1],,,0.5675140084371831,[0.56751401]
0.0253536449397011,2,0,[1.],[-0.08127086 -0.24886576  1.        ],"[1.0, 0.2488657612695191, 0.1432050247649734, 0.05586436135954805]","[1, 0.2488657612695191, 0.1432050247649734, 0.06658311520002899]","[0.0, 0.0, 0.0, 0.01071875384048094]",0.01071875384048094,0.16098306317269265,2.2962820496340477,-1.6074395275735525,[1],-5.358459175833545,1.6074395275735525,0.20999266731911784,[]
0.0278255940220712,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2487556072078521, 0.143095212076137, 0.0665120146551468]","[0.0, 0.2487556072078521, 0.143095212076137, 0.0665120146551468]",0.2487556072078521,1.0,,,,,,,
0.0278255940220712,0,1,[0.24875561 1.        ],[1.],"[1.0, 0.2487556072078521, 0.0, 0.0]","[1, 0.2487556072078521, 0.143095212076137, 0.0665120146551468]","[0.0, 0.0, 0.143095212076137, 0.0665120146551468]",0.143095212076137,1.0,,,,,,,
0.0278255940220712,0,2,[0.14309521 0.24875561 1.        ],[1.],"[1.0, 0.2487556072078521, 0.143095212076137, 0.0]","[1, 0.2487556072078521, 0.143095212076137, 0.0665120146551468]","[0.0, 0.0, 0.0, 0.0665120146551468]",0.0665120146551468,1.0,,,,,,,
0.0278255940220712,1,0,[1.],[-0.24875561  1.        ],"[1.0, 0.2487556072078521, 0.06187935211734719, 0.015392835809579189]","[1, 0.2487556072078521, 0.143095212076137, 0.0665120146551468]","[0.0, 0.0, 0.08121585995878983, 0.05111917884556762]",0.08121585995878983,0.5675651811157533,4.020009885302535,-4.020009885302535,[1],,,0.0,[]
0.0278255940220712,1,1,[-0.32648856  1.        ],[-0.57524417  1.        ],"[1.0, 0.24875560720785206, 0.14309521207613699, 0.08231468608466519]","[1, 0.2487556072078521, 0.143095212076137, 0.0665120146551468]","[0.0, 2.7755575615628914e-17, 2.7755575615628914e-17, -0.015802671429518383]",-0.015802671429518383,0.2375912308693772,1.7383922466636836,-0.7517413363357888,[1],,,0.5675651811157533,[0.56756518]
0.0278255940220712,2,0,[1.],[-0.08121586 -0.24875561  1.        ],"[1.0, 0.2487556072078521, 0.143095212076137, 0.05579863692749248]","[1, 0.2487556072078521, 0.143095212076137, 0.0665120146551468]","[0.0, 0.0, 0.0, 0.010713377727654329]",0.010713377727654329,0.16107432293550758,2.2971552066913112,-1.6080105209167415,[1],-5.36004966270119,1.6080105209167415,0.2099996732938812,[]
0.0305385550883341,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2486348014508416, 0.1429748198403476, 0.0664340830748265]","[0.0, 0.2486348014508416, 0.1429748198403476, 0.0664340830748265]",0.2486348014508416,1.0,,,,,,,
0.0305385550883341,0,1,[0.2486348 1.       ],[1.],"[1.0, 0.2486348014508416, 0.0, 0.0]","[1, 0.2486348014508416, 0.1429748198403476, 0.0664340830748265]","[0.0, 0.0, 0.1429748198403476, 0.0664340830748265]",0.1429748198403476,1.0,,,,,,,
0.0305385550883341,0,2,[0.14297482 0.2486348  1.        ],[1.],"[1.0, 0.2486348014508416, 0.1429748198403476, 0.0]","[1, 0.2486348014508416, 0.1429748198403476, 0.0664340830748265]","[0.0, 0.0, 0.0, 0.0664340830748265]",0.0664340830748265,1.0,,,,,,,
