sigma,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error,total_deg
0.2848035868435802,-1.6678927835368142,2.3887190966108127,2_0,-5.527166906745191,1.6678927835368142,0.2107019710528546,0.0101502814264388,0.1703319077098068,2
0.3125715849688237,,,0_0,,,,0.2365628309159319,1.0,0
0.3125715849688237,,,0_1,,,,0.131139384077178,1.0,1
0.3125715849688237,,,0_2,,,,0.0588961443168717,1.0,2
0.3125715849688237,-4.2272067684013015,4.2272067684013015,1_0,,,0.0,0.0751774111062182,0.5732634146121574,1
0.3125715849688237,-0.7697917403313053,1.8039037820759485,1_1,,,0.5732634146121574,-0.0138014049538891,0.2343346090643063,2
0.3125715849688237,-1.674425095628322,2.398706412225481,2_0,-5.545433965555191,1.674425095628322,0.2107748624774554,0.0100892591827849,0.1713059369133398,2
0.3430469286314919,,,0_0,,,,0.2353139902214964,1.0,0
0.3430469286314919,,,0_1,,,,0.1299372849412486,1.0,1
0.3430469286314919,,,0_2,,,,0.0581444685175708,1.0,2
0.3430469286314919,-4.249641081937881,4.249641081937881,1_0,,,0.0,0.0745646109472861,0.5738507694769875,1
0.3430469286314919,-0.7717482777136033,1.81098127706681,1_1,,,0.5738507694769877,-0.0136051881943439,0.2339893809543134,2
0.3430469286314919,-1.6816079935292232,2.409688186110825,2_0,-5.5655282988937245,1.6816079935292232,0.210854212759124,0.0100223113881786,0.1723691288905671,2
0.3764935806792469,,,0_0,,,,0.2339553705323113,1.0,0
0.3764935806792469,,,0_1,,,,0.1286343088164495,1.0,1
0.3764935806792469,,,0_2,,,,0.0573326864028474,1.0,2
0.3764935806792469,-4.274319489758801,4.274319489758801,1_0,,,0.0,0.0738991934155385,0.5744905390752826,1
0.3764935806792469,-0.7739010261849828,1.8187633819072804,1_1,,,0.5744905390752826,-0.0133935609452571,0.2336112571308362,2
0.3764935806792469,-1.6895076576740862,2.421765531015284,2_0,-5.587637304699873,1.6895076576740862,0.2109405273187549,0.0099488858429559,0.1735290367008138,2
0.4132012400115338,,,0_0,,,,0.2324785498977976,1.0,0
0.4132012400115338,,,0_1,,,,0.1272236556360978,1.0,1
0.4132012400115338,,,0_2,,,,0.0564573294182557,1.0,2
0.4132012400115338,-4.301472116200057,4.301472116200057,1_0,,,0.0,0.0731773794735151,0.5751868951386434,1
0.4132012400115338,-0.7762702156447666,1.8273217251574967,1_1,,,0.5751868951386434,-0.0131656898260059,0.2331971767291698,2
0.4132012400115338,-1.698197263482264,2.435050238405964,2_0,-5.61196845507889,1.698197263482264,0.2110343380781734,0.0098683873779552,0.1747937332431509,2
0.4534878508128584,,,0_0,,,,0.230874700649335,1.0,0
0.4534878508128584,,,0_1,,,,0.125698392253973,1.0,1
0.4534878508128584,,,0_2,,,,0.0555149892407641,1.0,2
0.4534878508128584,-4.331353748104492,4.331353748104492,1_0,,,0.0,0.0723952648540529,0.575944238871239,1
0.4534878508128584,-0.7788782748423269,1.836735510370362,1_1,,,0.5759442388712391,-0.0129207716754207,0.2327438382341105,2
0.4534878508128584,-1.7077577765466023,2.4496659868281108,2_0,-5.638751642012505,1.7077577765466023,0.2111362017778736,0.0097801754554166,0.1761717977283713,2
0.4977023564332112,,,0_0,,,,0.2291346197108353,1.0,0
0.4977023564332112,,,0_1,,,,0.1240515233014592,1.0,1
0.4977023564332112,,,0_2,,,,0.0545023830607271,1.0,2
0.4977023564332112,-4.364246665396902,4.364246665396902,1_0,,,0.0,0.0715488493514301,0.5767671967845034,1
0.4977023564332112,-0.7817500731391084,1.847092350119814,1_1,,,0.5767671967845034,-0.0126580506303184,0.2322476544964044,2
0.4977023564332112,-1.718278825080323,2.4657496772744465,2_0,-5.6682417059775645,1.718278825080323,0.2112466984681444,0.0096835660576096,0.1776723422684124,2
0.5462277217684343,,,0_0,,,,0.2272487718714676,1.0,0
0.5462277217684343,,,0_1,,,,0.1222760774827576,1.0,1
0.5462277217684343,,,0_2,,,,0.0534164265423035,1.0,2
0.5462277217684343,-4.4004638254573365,4.4004638254573365,1_0,,,0.0,0.0706340731656672,0.5776606072077141,1
0.5462277217684343,-0.7849132087061111,1.858489220048071,1_1,,,0.5776606072077142,-0.0123768404638913,0.2317047632171624,2
0.5462277217684343,-1.729859692419246,2.483452945806146,2_0,-5.700721350227219,1.729859692419246,0.2113664286521438,0.0095778317259091,0.1793049881074302,2
0.5994842503189411,,,0_0,,,,0.2252073481870173,1.0,0
0.5994842503189411,,,0_1,,,,0.1203652078392606,1.0,1
0.5994842503189411,,,0_2,,,,0.0522543197559047,1.0,2
0.5994842503189411,-4.4403524487557,4.4403524487557,1_0,,,0.0,0.0696468581618321,0.5786294844839274,1
0.5994842503189411,-0.7883983927506517,1.871033600405245,1_1,,,0.5786294844839273,-0.0120765441116339,0.2311109238058609,2
0.5994842503189411,-1.7426104806207037,2.5029439132127878,2_0,-5.736504681506503,1.7426104806207037,0.211496007358739,0.009462206248262,0.1810798856910364,2
0.6579332246575682,,,0_0,,,,0.2230003417960368,1.0,0
0.6579332246575682,,,0_1,,,,0.1183123228155194,1.0,1
0.6579332246575682,,,0_2,,,,0.0510136459145498,1.0,2
0.6579332246575682,-4.484298059572625,4.484298059572625,1_0,,,0.0,0.0685831703743702,0.5796790118076687,1
0.6579332246575682,-0.7922397413927088,1.8848445917485197,1_1,,,0.5796790118076688,-0.0117566871587802,0.2304616137116188,2
0.6579332246575682,-1.7566533056325224,2.524409036003061,2_0,-5.77594057907347,1.7566533056325224,0.2116360619848813,0.0093358870530655,0.1830076420866602,2
0.7220809018385468,,,0_0,,,,0.2206176434952952,1.0,0
0.7220809018385468,,,0_1,,,,0.1161112285738474,1.0,1
0.7220809018385468,,,0_2,,,,0.0496924805856604,1.0,2
0.7220809018385468,-4.53272904268568,4.53272904268568,1_0,,,0.0,0.0674390839524302,0.5808144895266405,1
