sigma,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
42.8628571428571,1,1,[-6.29911216e-04  1.00000000e+00],[-0.00146727  1.        ],"[1.0, 0.00083735399222628, 1.2286203795726554e-06]",681.5400478034823,-388.9482806374419,[1],,,0.4293097201096645,[0.42930972]
42.8628571428571,2,0,[1.],[-5.27458671e-07 -8.37353992e-04  1.00000000e+00],"[1.0, 0.00083735399222628, 1.2286203795726554e-06]",795.5586738781615,-596.4442495388078,[1],-2383.0839869071488,596.4442495388078,0.18764117681332926,[]
44.9034693877551,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
44.9034693877551,0,1,[7.64352135e-04 1.00000000e+00],[1.],"[1.0, 0.00076435213519156, 0.0]",,,,,,,
44.9034693877551,0,2,[1.02296558e-06 7.64352135e-04 1.00000000e+00],[1.],"[1.0, 0.00076435213519156, 1.0229655792902517e-06]",,,,,,,
44.9034693877551,1,0,[1.],[-7.64352135e-04  1.00000000e+00],"[1.0, 0.00076435213519156, 5.842341865718968e-07]",1308.2975162349517,-1308.2975162349517,[1],,,0.0,[]
44.9034693877551,1,1,[-5.73991191e-04  1.00000000e+00],[-0.00133834  1.        ],"[1.0, 0.00076435213519156, 1.0229655792902517e-06]",747.1924282358343,-426.7351408108156,[1],,,0.42888187207897355,[0.42888187]
44.9034693877551,2,0,[1.],[-4.38731393e-07 -7.64352135e-04  1.00000000e+00],"[1.0, 0.00076435213519156, 1.0229655792902517e-06]",871.9219379496928,-653.8378503991623,[1],-2614.108952322377,653.8378503991623,0.18755939662603882,[]
46.9440816326531,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
46.9440816326531,0,1,[7.00449938e-04 1.00000000e+00],[1.],"[1.0, 0.00070044993788681, 0.0]",,,,,,,
46.9440816326531,0,2,[8.75207535e-07 7.00449938e-04 1.00000000e+00],[1.],"[1.0, 0.00070044993788681, 8.752075353743987e-07]",,,,,,,
46.9440816326531,1,0,[1.],[-7.00449938e-04  1.00000000e+00],"[1.0, 0.00070044993788681, 4.90630115485636e-07]",1427.6537778230143,-1427.6537778230143,[1],,,0.0,[]
46.9440816326531,1,1,[-5.49043406e-04  1.00000000e+00],[-0.00124949  1.        ],"[1.0, 0.00070044993788681, 8.752075353743987e-07]",800.3243911596003,-448.6515855837912,[1],,,0.43941282992295894,[0.43941283]
46.9440816326531,2,0,[1.],[-3.84577420e-07 -7.00449938e-04  1.00000000e+00],"[1.0, 0.00070044993788681, 8.752075353743987e-07]",941.2391393217424,-702.0457584625357,[1],-2762.588760132584,702.0457584625357,0.18954599876683417,[]
48.984693877551,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
48.984693877551,0,1,[6.44202217e-04 1.00000000e+00],[1.],"[1.0, 0.00064420221696948, 0.0]",,,,,,,
48.984693877551,0,2,[7.25566094e-07 6.44202217e-04 1.00000000e+00],[1.],"[1.0, 0.00064420221696948, 7.255660940328134e-07]",,,,,,,
48.984693877551,1,0,[1.],[-6.44202217e-04  1.00000000e+00],"[1.0, 0.00064420221696948, 4.14996496348393e-07]",1552.3076041313536,-1552.3076041313536,[1],,,0.0,[]
48.984693877551,1,1,[-4.82099548e-04  1.00000000e+00],[-0.0011263  1.       ],"[1.0, 0.00064420221696948, 7.255660940328134e-07]",887.8615225649536,-507.8233728633162,[1],,,0.42803763880175894,[0.42803764]
48.984693877551,2,0,[1.],[-3.10569598e-07 -6.44202217e-04  1.00000000e+00],"[1.0, 0.00064420221696948, 7.255660940328134e-07]",1035.4356595174854,-776.7883888241855,[1],-3109.6960564545816,776.7883888241855,0.18739775767101824,[]
51.025306122449,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
51.025306122449,0,1,[5.94438566e-04 1.00000000e+00],[1.],"[1.0, 0.00059443856572936, 0.0]",,,,,,,
51.025306122449,0,2,[6.17715575e-07 5.94438566e-04 1.00000000e+00],[1.],"[1.0, 0.00059443856572936, 6.177155751324203e-07]",,,,,,,
51.025306122449,1,0,[1.],[-5.94438566e-04  1.00000000e+00],"[1.0, 0.00059443856572936, 3.5335720842637867e-07]",1682.259627238396,-1682.259627238396,[1],,,0.0,[]
51.025306122449,1,1,[-4.44719407e-04  1.00000000e+00],[-0.00103916  1.        ],"[1.0, 0.00059443856572936, 6.177155751324203e-07]",962.3175935007462,-550.482895604695,[1],,,0.4279613099432872,[0.42796131]
51.025306122449,2,0,[1.],[-2.64358367e-07 -5.94438566e-04  1.00000000e+00],"[1.0, 0.00059443856572936, 6.177155751324203e-07]",1122.2049410556187,-841.9158966813047,[1],-3370.8138015815184,841.9158966813047,0.18738312589080133,[]
53.0659183673469,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
53.0659183673469,0,1,[5.50203189e-04 1.00000000e+00],[1.],"[1.0, 0.00055020318877814, 0.0]",,,,,,,
