,sigma,residues,poles,poly_type,pole_2,res_2,remainder
220,73.4720408163265,-1023.3746801202134,1882.133849278384,1_1,,,0.4562689149272892
221,73.4720408163265,-1658.4164950534985,2242.4652029910376,2_0,-6367.519064217413,1658.4164950534985,0.1926155081803876
222,75.5126530612245,,,0_0,,,
223,75.5126530612245,,,0_1,,,
224,75.5126530612245,,,0_2,,,
225,75.5126530612245,-3655.070537239031,3655.070537239031,1_0,,,0.0
226,75.5126530612245,-1070.141912562119,1977.7371350284216,1_1,,,0.4589058911781316
227,75.5126530612245,-1743.9874989473992,2361.2997978507806,2_0,-6670.978912998012,1743.9874989473992,0.1930838888809611
228,77.5532653061225,,,0_0,,,
229,77.5532653061225,,,0_1,,,
230,77.5532653061225,,,0_2,,,
231,77.5532653061225,-3853.9262495409216,3853.9262495409216,1_0,,,0.0
232,77.5532653061225,-1119.6835454685445,2077.300605848915,1_1,,,0.4609910851053877
233,77.5532653061225,-1832.91273870684,2484.301219506401,2_0,-6990.4634273374295,1832.91273870684,0.1934520599746409
234,79.5938775510204,,,0_0,,,
235,79.5938775510204,,,0_1,,,
236,79.5938775510204,,,0_2,,,
237,79.5938775510204,-4058.083223405866,4058.083223405866,1_0,,,0.0
238,79.5938775510204,-1172.519596512779,2181.325767445826,1_1,,,0.4624738707021676
239,79.5938775510204,-1925.5561128481693,2611.810812169587,2_0,-7328.457320509506,1925.5561128481693,0.1937126933747204
240,81.6344897959184,,,0_0,,,
241,81.6344897959184,,,0_1,,,
242,81.6344897959184,,,0_2,,,
243,81.6344897959184,-4267.54114276503,4267.54114276503,1_0,,,0.0
244,81.6344897959184,-1224.9834166108317,2286.4092218130154,1_1,,,0.4642326470151843
245,81.6344897959184,-2019.397907935864,2741.513345757399,2_0,-7666.64999117353,2019.397907935864,0.1940205819763131
246,83.6751020408163,,,0_0,,,
247,83.6751020408163,,,0_1,,,
248,83.6751020408163,,,0_2,,,
249,83.6751020408163,-4482.301154835054,4482.301154835054,1_0,,,0.0
250,83.6751020408163,-1288.4227151403843,2403.1434880151164,1_1,,,0.4638594317959095
251,83.6751020408163,-2122.2574451714718,2880.6155182997327,2_0,-8061.373574055856,2122.2574451714718,0.1939553610644837
252,85.7157142857143,,,0_0,,,
253,85.7157142857143,,,0_1,,,
254,85.7157142857143,,,0_2,,,
255,85.7157142857143,-4702.362222711524,4702.362222711524,1_0,,,0.0
256,85.7157142857143,-1353.940751376674,2523.235986003554,1_1,,,0.463410969529995
257,85.7157142857143,-2228.0086063214285,3023.4755861408817,2_0,-8468.396297799247,2228.0086063214285,0.1938769095951258
258,87.7563265306122,,,0_0,,,
259,87.7563265306122,,,0_1,,,
260,87.7563265306122,,,0_2,,,
261,87.7563265306122,-4927.72474714079,4927.72474714079,1_0,,,0.0
262,87.7563265306122,-1424.6487823856355,2649.5805443401214,1_1,,,0.4623115777971395
263,87.7563265306122,-2338.7915253830583,3172.062222336523,2_0,-8903.219890861854,2338.7915253830583,0.193684214038092
264,89.7969387755102,,,0_0,,,
265,89.7969387755102,,,0_1,,,
266,89.7969387755102,,,0_2,,,
267,89.7969387755102,-5158.388774975707,5158.388774975707,1_0,,,0.0
268,89.7969387755102,-1501.111799114532,2782.6818457265267,1_1,,,0.4605521283649987
269,89.7969387755102,-2454.9873628970686,3326.7184035422656,2_0,-9368.774610307168,2454.9873628970686,0.1933747165406604
270,91.8375510204082,,,0_0,,,
271,91.8375510204082,,,0_1,,,
272,91.8375510204082,,,0_2,,,
273,91.8375510204082,-5394.354325167921,5394.354325167921,1_0,,,0.0
274,91.8375510204082,-1583.962061059956,2923.0895632841407,1_1,,,0.4581205855080445
275,91.8375510204082,-2577.017404137392,3487.817518015313,2_0,-9868.429207932077,2577.017404137392,0.1929447289357855
276,93.8781632653061,,,0_0,,,
277,93.8781632653061,,,0_1,,,
278,93.8781632653061,,,0_2,,,
279,93.8781632653061,-5635.621436265461,5635.621436265461,1_0,,,0.0
280,93.8781632653061,-1673.0565373477025,3070.62099353873,1_1,,,0.4551406569328531
281,93.8781632653061,-2704.7660117788373,3655.2348223672334,2_0,-10401.766793892994,2704.7660117788373,0.1924141495900619
282,95.9187755102041,,,0_0,,,
283,95.9187755102041,,,0_1,,,
284,95.9187755102041,,,0_2,,,
285,95.9187755102041,-5882.190165067776,5882.190165067776,1_0,,,0.0
286,95.9187755102041,-1788.700303605459,3243.682372570067,1_1,,,0.4485587372143906
287,95.9187755102041,-2852.0337396222467,3841.487233831759,2_0,-11072.830876168917,2852.0337396222467,0.1912279005038681
288,97.959387755102,,,0_0,,,
289,97.959387755102,,,0_1,,,
290,97.959387755102,,,0_2,,,
291,97.959387755102,-6134.060471046913,6134.060471046913,1_0,,,0.0
292,97.959387755102,-1899.0858628363983,3413.078891902262,1_1,,,0.443585711615956
293,97.959387755102,-2997.0823687593074,4026.7214759873937,2_0,-11721.015504234205,2997.0823687593074,0.1903182897024187
294,100.0,,,0_0,,,
295,100.0,,,0_1,,,
296,100.0,,,0_2,,,
297,100.0,-6391.232415176317,6391.232415176317,1_0,,,0.0
298,100.0,-2018.3095640519616,3591.5853755172348,1_1,,,0.4380449431022368
299,100.0,-3149.496088028454,4219.627774234847,2_0,-12418.753074213444,3149.496088028454,0.1892910203652525
