,sigma,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error
2049,20.42837837837838,-5.649023326440206,10.158774233734889,3_0,(-13.301305488196553+17.054869228073294j),(2.824511663220103-3.8852991429330723j),0.1575364015241633,,
2050,20.528468468468468,,,0_0,,,,0.0413817476438534,1.0
2051,20.528468468468468,,,0_1,,,,0.005142665709148,1.0
2052,20.528468468468468,,,0_2,,,,0.0005625683595987,1.0
2053,20.528468468468468,,,0_3,,,,,
2054,20.528468468468468,-24.165243300171113,24.165243300171113,1_0,,,0.0,0.0034302166710884,0.6670114032468829
2055,20.528468468468468,-2.679476143006243,8.046750456721643,1_1,,,0.667011403246883,-7.653008601697208e-05,0.1360369539295877
2056,20.528468468468468,-3.9285046421829395,9.141405877885571,1_2,,,0.5187905309305789,,
2057,20.528468468468468,-8.049527337173187,12.076372589701243,2_0,(-24.140259979859206+0j),(8.049527337173187+0j),0.2222605130864292,0.0002078075043593,0.3693906719310612
2058,20.528468468468468,-3.798785575281217,9.063620224574263,2_1,(-119.50300443823326+0j),(69.41636375663391+0j),0.5399252250628236,,
2059,20.528468468468468,-5.67296926653964,10.202833784900951,3_0,(-13.35476818903616+17.125948967026414j),(2.8364846332698197-3.9017269130261525j),0.1575480992782393,,
2060,20.62855855855856,,,0_0,,,,0.0411963452193088,1.0
2061,20.62855855855856,,,0_1,,,,0.0050976967348568,1.0
2062,20.62855855855856,,,0_2,,,,0.000555325483949,1.0
2063,20.62855855855856,,,0_3,,,,,
2064,20.62855855855856,-24.273997964540268,24.273997964540268,1_0,,,0.0,0.0034005578754283,0.6670773198758867
2065,20.62855855855856,-2.6904695149770945,8.081364459682016,1_1,,,0.6670773198758866,-7.547105545822961e-05,0.135904181672936
2066,20.62855855855856,-3.9432396361645696,9.17965568337585,1_2,,,0.5190424384228959,,
2067,20.62855855855856,-8.08468719028247,12.129521299267791,2_0,(-24.244105649378206+0j),(8.08468719028247+0j),0.22226783162693156,0.0002052284532622,0.3695642631106443
2068,20.62855855855856,-3.813305217472697,9.101711070459935,2_1,(-120.16777316919723+0j),(69.82159179178517+0j),0.54012431628752,,
2069,20.62855855855856,-5.696926642449928,10.246911382982672,3_0,(-13.408266645758951+17.19706684448263j),(2.848463321224964-3.9181627646888586j),0.1575596644940356,,
2070,20.728648648648647,,,0_0,,,,0.0410125417007654,1.0
2071,20.728648648648647,,,0_1,,,,0.0050532990945258,1.0
2072,20.728648648648647,,,0_2,,,,0.0005482036152342,1.0
2073,20.728648648648647,,,0_3,,,,,
2074,20.728648648648647,-24.382785326892762,24.382785326892762,1_0,,,0.0,0.0033712705177687,0.6671424854746577
